"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Australia,"30,285",+13,910 ,,"29,189",,186,1,"1,175",35,"19,423,269","753,371","25,781,801 ",Australia/Oceania,851,"28,332",1,0.5,,7
Trinidad and Tobago,"29,309",,686 ,,"19,667",,"8,956",22,"20,878",489,"212,899","151,657","1,403,816 ",North America,48,"2,046",7,,,"6,380"
Rwanda,"28,912",,372 ,,"26,383",,"2,157",14,"2,181",28,"1,516,498","114,393","13,256,952 ",Africa,459,"35,637",9,,,163
Réunion,"28,441",,220 ,,"26,333",,"1,888",32,"31,552",244,"102,720","113,955","901,407 ",Africa,32,"4,097",9,,,"2,095"
French Guiana,"25,950",,136 ,,"9,995",,"15,819",33,"84,796",444,"270,342","883,393","306,027 ",South America,12,"2,250",1,,,"51,692"
Syria,"24,904",,"1,821 ",,"21,690",,"1,393",,"1,391",102,"103,566","5,784","17,904,222 ",Asia,719,"9,832",173,,,78
Gabon,"24,755",,157 ,,"23,910",,688,17,"10,878",69,"842,822","370,374","2,275,598 ",Africa,92,"14,494",3,,,302
Guinea,"23,398",,167 ,,"21,488",,"1,743",24,"1,737",12,"460,401","34,178","13,470,650 ",Africa,576,"80,663",29,,,129
Mayotte,"20,176",,173 ,,"2,964",,"17,039",6,"72,299",620,"176,919","633,973","279,064 ",Africa,14,"1,613",2,,,"61,058"
Mauritania,"20,151",,477 ,,"19,223",,451,16,"4,228",100,"285,656","59,941","4,765,603 ",Africa,236,"9,991",17,,,95
French Polynesia,"18,947",,142 ,,"18,771",,34,,"67,079",503,"26,355","93,306","282,458 ",Australia/Oceania,15,"1,989",11,,,120
Suriname,"18,825",,418 ,,"14,423",,"3,984",33,"31,818",707,"71,637","121,081","591,644 ",South America,31,"1,415",8,,,"6,734"
Eswatini,"18,754",,676 ,,"17,959",,119,10,"16,007",577,"218,454","186,456","1,171,614 ",Africa,62,"1,733",5,,,102
Guyana,"18,530",,437 ,,"16,401",,"1,692",22,"23,451",553,"171,246","216,719","790,175 ",South America,43,"1,808",5,,,"2,141"
Papua New Guinea,"16,791",,165 ,,"16,132",,494,7,"1,844",18,"129,252","14,191","9,108,169 ",Australia/Oceania,542,"55,201",70,,,54
Haiti,"16,775",,360 ,,"12,568",,"3,847",,"1,454",31,"81,026","7,024","11,534,955 ",North America,688,"32,042",142,,,334
Guadeloupe,"16,608",,225 ,,"2,250",,"14,133",23,"41,500",562,"212,247","530,367","400,189 ",North America,24,"1,779",2,,,"35,316"
Somalia,"14,823",,775 ,,"7,099",,"6,949",,909,48,"140,863","8,635","16,313,666 ",Africa,"1,101","21,050",116,,,426
Mali,"14,356",,523 ,,"9,985",,"3,848",,690,25,"307,934","14,802","20,803,755 ",Africa,"1,449","39,778",68,,,185
Andorra,"13,828",,127 ,,"13,626",,75,3,"178,696","1,641","193,595","2,501,777","77,383 ",Europe,6,609,0,,,969
Togo,"13,651",,126 ,,"13,316",,209,,"1,613",15,"348,113","41,134","8,462,958 ",Africa,620,"67,166",24,,,25
Seychelles,"13,630",,50 ,,"12,173",,"1,407",,"137,777",505,"21,504","217,370","98,928 ",Africa,7,"1,979",5,,,"14,222"
Burkina Faso,"13,459",,167 ,,"13,287",,5,,628,8,"192,450","8,973","21,446,855 ",Africa,"1,593","128,424",111,,,0.2
Taiwan,"13,409",+170,478 ,+18,"8,042",,"4,889",,562,20,"1,591,613","66,712","23,857,953 ",Asia,"1,779","49,912",15,7,0.8,205
Tajikistan,"13,308",,90 ,,"13,218",,0,,"1,366",9,,,"9,741,113 ",Asia,732,"108,235",,,,
Belize,"12,989",,326 ,,"12,490",,173,1,"32,112",806,"143,475","354,703","404,493 ",North America,31,"1,241",3,,,428
Curaçao,"12,296",,123 ,,"12,145",,28,4,"74,642",747,"121,594","738,123","164,734 ",North America,13,"1,339",1,,,170
Bahamas,"12,225",,239 ,,"11,174",,812,4,"30,807",602,"102,475","258,237","396,826 ",North America,32,"1,660",4,,,"2,046"
Martinique,"12,178",,98 ,,98,,"11,982",5,"32,476",261,"191,164","509,788","374,987 ",North America,31,"3,826",2,,,"31,953"
Congo,"12,121",,160 ,,"11,211",,750,,"2,146",28,"158,304","28,033","5,647,006 ",Africa,466,"35,294",36,,,133
Hong Kong,"11,882",+1,210 ,,"11,600",,72,1,"1,573",28,"16,710,131","2,211,800","7,554,991 ",Asia,636,"35,976",0,0.1,,10
Djibouti,"11,575",,154 ,,"11,408",,13,,"11,556",154,"165,975","165,697","1,001,679 ",Africa,87,"6,504",6,,,13
Vietnam,"11,480",+268,61 ,,"4,543",+4,"6,876",,117,0.6,"6,282,417","63,993","98,173,691 ",Asia,"8,552","1,609,405",16,3,,70
Aruba,"11,084",,107 ,,"10,958",,19,14,"103,396",998,"171,739","1,602,058","107,199 ",North America,10,"1,002",1,,,177
Lesotho,"10,923",,326 ,,"6,443",,"4,154",,"5,061",151,"102,252","47,373","2,158,447 ",Africa,198,"6,621",21,,,"1,925"
South Sudan,"10,688",,115 ,,"10,514",,59,,944,10,"164,472","14,531","11,318,769 ",Africa,"1,059","98,424",69,,,5
Equatorial Guinea,"8,662",,120 ,,"8,413",,129,1,"5,988",83,"149,330","103,227","1,446,624 ",Africa,167,"12,055",10,,,89
Timor-Leste,"8,412",,19 ,,"7,039",,"1,354",,"6,267",14,"92,122","68,629","1,342,321 ",Asia,160,"70,648",15,,,"1,009"
Benin,"8,140",,103 ,,"7,979",,58,5,655,8,"604,310","48,639","12,424,453 ",Africa,"1,526","120,626",21,,,5
Nicaragua,"7,696",,188 ,,"4,225",,"3,283",,"1,149",28,,,"6,699,647 ",North America,871,"35,636",,,,490
CAR,"7,101",,98 ,,"6,859",,144,2,"1,446",20,"54,814","11,165","4,909,647 ",Africa,691,"50,098",90,,,29
Yemen,"6,864",,"1,350 ",,"3,775",,"1,739",23,225,44,"85,187","2,798","30,449,966 ",Asia,"4,436","22,556",357,,,57
Iceland,"6,622",,30 ,,"6,562",,30,1,"19,286",87,"716,877","2,087,853","343,356 ",Europe,52,"11,445",0,,,87
Gambia,"6,016",,180 ,,"5,822",,14,3,"2,425",73,"81,795","32,968","2,481,041 ",Africa,412,"13,784",30,,,6
Niger,"5,452",,192 ,,"5,172",,88,2,218,8,"112,465","4,492","25,035,365 ",Africa,"4,592","130,393",223,,,4
Saint Lucia,"5,186",,80 ,,"5,018",,88,,"28,119",434,"50,956","276,292","184,428 ",North America,36,"2,305",4,,,477
San Marino,"5,090",,90 ,,"4,999",,1,,"149,710","2,647","67,456","1,984,058","33,999 ",Europe,7,378,1,,,29
Burundi,"5,037",,8 ,,773,,"4,256",,412,0.7,"309,390","25,305","12,226,389 ",Africa,"2,427","1,528,299",40,,,348
Eritrea,"5,012",,17 ,,"4,486",,509,,"1,395",5,"23,693","6,594","3,593,160 ",Africa,717,"211,362",152,,,142
Chad,"4,943",,174 ,,"4,767",,2,,293,10,"122,852","7,281","16,872,683 ",Africa,"3,413","96,969",137,,,0.1
